lname,n
KIRTON,4
KISER,4
KISIELEWSKI,2
KIVETTE,4
KIZER,4
KLEIN,9
KLEISS,6
KLINE,1
KLOIBER,4
KLUMPP,1
KNAUER,2
KNEIDEL,1
KNIGHT,8
KNIGHTEN,1
KNOTT,3
KNOWLES,8
KNUDSEN,4
KNUTSON-SAYER,1
KOBEY,1
KOCH,3
KOENIG,2
KOERBER,2
KOERNER,2
KOHN,1
KOLZ,4
KOONTS,2
KOOPS,3
KOPFLER,2
KOSDERKA,4
KOVACS,1
KRAFCIK,4
KRAGTEN,2
KRAJEWSKI,4
KRAMER,5
KRATZ,1
KRAUSE,11
KRETLOW,2
KRIDELER,1
KRINER,2
KROEN,4
KROFT,2
KROG,4
KROHN,3
KROUGH,3
KRUEGER,4
KRUPP,2
KRUPPENBACH,2
KRUSE,1
KRYWICK,2
KUDOS,1
KUHL,4
KUHLENBECK,1
KUHN,4
KULA,2
KULPA,5
KURKIMILIS,5
KURSCHNER,1
KUTCHERA,4
KYLE,1
LA-ROCHE,2
LA FERLA,2
LA LUZERNE,2
LA MOTTE,3
LACHICOTTE,1
LACKEY,11
LAHOOD,1
LAIL,1
LAMBERT,10
LAMBERTSON,2
LAMBETH,2
LAMM,2
LAMONT,1
LAMOORE,1
LAMOTTE,1
LAMSON,1
LANCASTER,3
LANCE,4
LANDIS,5
LANDON,2
LANDRESS,7
LANDRY,4
LANE,19
LANG,9
LANGAN,4
LANGDON,1
LANGE,2
LANGFORD-MOORE,1
LANGLEY,2
LANGNER,2
LANIER,4
LANKFORD,2
LANTZ,3
LAPPIN,4
LARA,1
LARKIN,1
LARKINS,4
LARSEN,1
LARSON,1
LASSITER,10
LATCHAM,2
LATHAM,3
LATIMER,4
LAUFER,4
LAUGHIN,2
LAUGHRIDGE,4
LAUGHRUN,20
LAUNIER,1
LAURA,3
LAW,1
LAWHERN,8
LAWLESS,2
LAWRENCE,13
LAWS,287
LAWSON,3
LAWTON,1
LAY,2
LAYELL,10
LAYTON,1
LEACH,2
LEADBETTER,4
LEADBITTER,3
LEADENHAM,1
LEAGUE,1
LEAHY,4
LEARNED,2
LEAVITT,5
LEBLANC,1
LECKENBY,2
LEDBETTER,1
LEDFORD,205
LEE,35
LEGGETT,2
LEHARDY,2
LEHMAN,3
LEIGH,1
LEIKUS,2
LEINER,4
LEISNER,2
LELAND,2
LEMASTER,9
LEMIEUX,2
LENTZ,2
LEONARD,3
LEPIDI,1
LEPORE,4
LERCARA,1
LESESNE,2
LESLIE,1
LETTERMAN,89
LEVIN,5
LEWELLEN,3
LEWIS,49
LEYDIG,1
LEYSHON,6
LEYVA,1
LIABENOW,1
LIBBY,2
LIBOW,1
LICCARDI,2
LIFRAGE,2
LILES,3
LIMONGELLO,2
LINDA,1
LINDAHL,1
LINDBERG,2
LINDEMAN,4
LINDENAUX,2
LINDSAY,5
LINDSEY,3
LINVILLE,2
LISENBEE,3
LISENBY,2
LISTER,6
LITTLE,8
LIVENGOOD,2
LIVINGSTON,3
LOCK,2
LOCKYER,2
LOCURTO,1
LODGE,3
LOEHR,2
LOFTIS,40
LOGAN,2
LOHR,1
LOLLO,2
LOMBARDO,1
LONG,8
LOONEY,3
LOOS,1
LOPEMAN,2
LOPEZ,4
LORENZO,7
LORIEN,2
LOU,1
LOUDERMILK,1
LOUDON,4
LOUIS,2
LOVELACE,1
LOVELAND,5
LOVIN,8
LOVREK,2
LOW,3
LOWE,2
LOWERY,8
LOWMAN,5
LOWMILLER,6
LOWRY,4
LOY,2
LUCAS,2
LUCIER,2
LUDWIG,4
LUFT,1
LUKE,1
LUKER,2
LUNA,1
LUNDQUIST,2
LUNDY,1
LUNDY-JONES,1
LUNSFORD,6
LURIE,1
LUSK,10
LUSTIG,1
LUTTRELL,2
LUVAGA,1
LUYCKX,2
LUZ,2
LYDA,9
LYNCH,5
LYNES,2
LYNN,1
LYONS,8
MAC DANIEL,1
MAC MICHAEL,2
MACDANIEL,1
MACDONALD,2
MACE,22
MACIAS,4
MACISAAC,2
MACK,5
MACKEY,1
MACKING,2
MACLACHLAN,1
MACLEAN,3
MACLEOD,2
MACMICHAEL,2
MACPHERSON,4
MADDOX,8
MADISON,1
MADRID,2
MAGANA,3
MAGERS,2
MAGGS,6
MAGLIETTA,1
MAGRANE,1
MAGUIRE-RAAB,2
MAHER,9
MAHONEY,5
MAHRIE,2
MAIER,2
MAINOUS,4
MAINSTER,4
MAKINGS,7
MALCUIT,5
MALDONADO,2
MALIN,2
MALONE,4
MALOUIN,1
MALTBA,8
MANDALA,8
MANDL,2
MANECK,2
MANESS,8
MANEY,28
MANFRE,4
MANGUM,2
MANIS,2
MANN,7
MANNING,2
MANSFIELD,2
MAPES,2
MARCELLO,2
MARCHETTI,3
MARCIAS,1
MARCO,2
MARCUM,6
MAREN,4
MAREN-HOGAN,5
MARICLE,2
MARINO,4
MARION,1
MARKHAM,2
MARKLEY,4
MARKS,2
MARKUS,1
MARLOW,4
MARLOWE,6
MARRELLI,4
MARSH,23
MARSHALL,10
MARTENSON,2
MARTIN,55
MARTINDALE,5
MARTINEZ,15
MARTINEZ RICO,1
MARTZ,3
MASHBURN,4
MASON,16
MASON-BOUTERSE,2
MASON MILLER,1
MAST,2
MASTEN,3
MASTERS,9
MASTROPAOLO,6
MATELSKI,6
MATESZ,1
MATHENY,2
MATHESON,2
MATHEWS,1
MATHIS,38
MATHSON,1
MATNEY,2
MATTHEW,1
MATTHEWS,8
MATTHIESEN,1
MAUNEY,5
MAXIMILLIAN,4
MAXON,1
MAXWELL,10
MAY,1
MAYBERRY,4
MAYES,4
MAYHEW,4
MAYNARD,3
MAYNOR,2
MAYO,2
MAYS,1
MAZZAGATTI,4
MCALISTER,2
MCALLISTER,7
MCAULIFFE,4
MCBRIDE,7
MCCABE,4
MCCALL,8
MCCALLISTER,6
MCCANDLESS,8
MCCANLESS,11
MCCANN,2
MCCART,4
MCCARTHY,1
MCCARTY,7
MCCASLIN,2
MCCAULLEY,4
MCCLAIN,1
MCCLARY,2
MCCLELLAN,1
MCCLURE,10
MCCLUSKEY,1
MCCOLLUM,1
MCCONNELL,8
MCCOOL,4
MCCORMACK,2
MCCOURRY,42
MCCOURY,2
MCCOY,6
MCCOYLE,6
MCCRACKEN,12
MCCRAW,6
MCCROSKEY,4
MCCULLER,2
MCCULLOUGH,3
MCCURRY,222
MCDANIEL,3
MCDARIS,1
MCDONALD,1
MCDOUGALD,5
MCDOWELL,38
MCELFRESH,2
MCELROY,1
MCENTYRE,15
MCFADDEN,4
MCFALING,1
MCFALLS,23
MCFARLAND,12
MCFARLANE,5
MCFARLING,4
MCFAYDEN,1
MCFEE,9
MCGAHA,3
MCGAHAN,1
MCGAHEY,4
MCGALLIARD,6
MCGEE,25
MCGINN,1
MCGINNIS,5
MCGINTY,3
MCGRATH,6
MCGRAW,4
MCGROARTY,1
MCGUINNES,1
MCGUIRE,6
MCHONE,10
MCILVAINE,4
MCINTOSH,233
MCINTURFF,2
MCINTYRE,13
MCKAY,1
MCKEE,2
MCKEEHAN,3
MCKELVY,2
MCKEMY,2
MCKINNEY,190
MCKINNIE,2
MCKNIGHT,2
MCKOWN,1
MCLAIN,3
MCLAUGHLIN,12
MCLEAN,4
MCLEOD,5
MCLURE,2
MCMAHAN,188
MCMANNAMY,2
MCMILLAN,6
MCMILLON,3
MCMINN,3
MCNEILL,12
MCPETERS,60
MCPHEE,7
MCQUAID,3
MCQUEEN,9
MCRARY,2
MCROBIE,2
MCTAGGART,3
MCWHIRTER,12
MCWHIRTER - BUCK,2
MEADE,5
MEADOWS,9
MEANS,1
MEARES,4
MEAUX,2
MEDFORD,2
MEDINA,4
MEEKS,2
MEHAFFEY,2
MEHIEL,1
MEHTA,4
MEIER,2
MEINZER,2
MEIRON,2
MEISTER,2
MEJIA,1
MELECIO,2
MELECIO-GONZALEZ,2
MELENDEZ,1
MELINN,4
MELINO,1
MELLEN,1
MELLO,2
MELLON,1
MELTON,19
MENCIS,3
MENDEZ,3
MENNIG,3
MERCER,7
MERCK,1
MERLIN,2
MERTEN,4
MERZ,4
MESSEMER,1
MESSENGER,8
MESSNER,1
METCALF,48
METZNER,1
MEYER,3
MEYERS,4
MHOON,1
MICHAEL,7
MICHAELS,5
MIELE,6
MIFFLIN,4
MIGON,4
MIKEL,1
MILBY,1
MILES,2
MILLARD,4
MILLEN,4
MILLER,295
MILLS,4
MILOFSKY,2
MILTON,3
MIMKEN,2
MIMS,7
MINCEY,2
MINOR,1
MINUTOLI,2
MISCH,1
MITCHELL,77
MITRANI,1
MIXON,1
MIZE,2
MIZELL,7
MOFFETT,4
MOLNAR,2
MOLPUS,4
MONAGHAN,1
MONALDI,2
MONCCRIEF,1
MONCRIEF,3
MONDRAGON-WRIGHT,1
MONFORT,1
MONROE,4
MONTANA,1
MONTANYE,2
MONTEITH,1
MONTGOMERY,11
MONTREUIL,1
MOODY,1
MOON,2
MOORE,92
MOORHEAD,1
MOREHEAD,4
MOREY,2
MORGAN,36
MORRELL,3
MORRILL,4
MORRIN,1
MORRIS,14
MORRISON,11
MORROW,62
MORSE,8
MOSES,4
MOSLEY,2
MOSS,23
MOTLEY,1
MOTTE,3
MOTYL,1
MOYA,4
MOYE,2
MOYER,1
MUELLER,2
MULLIN,1
MULLINAX,2
MULLIS,3
MUMMERT,3
MUNCY,2
MUNDY,5
MURDOCK,6
MURI,2
MURPHEY,4
MURPHY,182
MURR,3
MURRAY,14
MUSIC,3
MUSICK,10
MUTEL,2
MYERS,10
NAGGE,2
NAGLE,4
NAILOR,4
NANNEY,11
NAOMI,1
NAPIER,1
NASH,13
NASON,7
NEAL,13
NEIGHBORS,4
NEIL,6
NEILL,21
NEILSON,1
NELSON,21
NERO,1
NES,2
NESBITT,2
NESMITH,1
NESS,5
NETHERTON,1
NETTER,2
NETTLES,2
NEUBERG,4
NEUMANN,1
NEVEU,2
NEWBERRY,8
NEWBURY,2
NEWCOMER,2
NEWELL,2
NEWMAN,8
NEWSON,3
NEWTON,7
NICE-WEBB,1
NICHOLIE,2
NICHOLS,3
NICHOLSON,12
NICHOLSON-CHRISTEN,2
NICKLAW,4
NICKLOW,2
NICKS,4
NICOLAI,1
NIEDERMEIER,2
NIEHAUS,4
NIELSEN,3
NIXON,4
NOAH,1
NOBLE,5
NOBLITT,6
NODURFT,1
NOE,1
NOGEL,2
NOLIN,2
NOLL,2
NORMAN,6
NORRIS,26
NORTH,1
NORTHINGTON,4
NORTON,38
NORTON-ROBBINS,1
NORTON FOX,1
NORVELL,4
NORWOOD,1
NUGENT,2
NUNES,6
NUNEZ,2
NUNLEY,3
NWAOZOMUDOH-ANAZIA,2
NYE,2
NYEGARD,1
O'DELL,4
O'HAGAN,1
O'HARA,2
O'ROURKE,2
O'SHIELDS,2
O'SULLIVAN,1
O'TOOLE,2
O DONNELL,2
O HAGEN,1
OAKES,1
OAKLEY,2
OATES,2
OBRIEN,1
OCONNOE,1
ODELL-TESTER,1
ODOM,2
ODONNELL,1
OEHLKE,1
OESCH,4
OETTING,5
OGLE,41
OHLE,2
OHRBERG,1
OHTA,2
OHTA-WEIR,1
OLIPHANT,1
OLIVER,4
OLLIS,16
OLSEN,2
OLSON,4
OLSON GUY,1
OLTMANN,1
OMONDI,2
OMRON,2
ONEY,2
OPPERT,2
OPPLIGER,4
ORMOND,2
OROVITZ,2
ORR,7
ORTAGUS,2
ORTIZ,2
ORTIZ-FABIAN,1
OSADA,4
OSBON,1
OSBORNE,9
OSCARSON,2
OVERDORFF,2
OVERMYER,1
OWEN,4
OWENBY,5
OWENS,18
OWENSBY,9
OYE,2
OZENGHAR,2
PACH,1
PACK,4
PACKETT,1
PAEZ-TOVAR,2
PAGE,4
PAGELS,2
PAIGE,5
PAINTER,2
PALLICK,2
PALM,4
PALMER,8
PALUMBO,2
PANDOLFI,2
PANZARELLA,2
PARCHMAN,2
PARDUE,1
PARK,2
PARKER,84
PARKS,4
PARLIER,7
PARMELEE,6
PARNITZKE,4
PARRINO,2
PARROTT,8
PARRY,1
PARSLEY,9
PARSONS,2
PASS,2
PASSMORE,4
PATE,108
PATON,2
PATRICK,2
PATTERSON,12
PATTON,19
PAUL,6
PAULEY,20
PAULIN,4
PAULSEN,1
PAYNE,9
PEACOCK,2
PEAK,3
PEAKE,2
PEARSON,3
PEAVY,2
PECK,1
PEDROZA,2
PEEK,9
PEELER,4
PELFREY,1
PELLEGROM,1
PELLETT,1
PELTON,4
PEMBROKE,1
PENA,2
PENDLEY,14
PENIX,2
PENLAND,142
PENLAND BANKS,1
PENLEY,8
PENNEL,2
PENNER,9
PEOPLES,1
PEPP,3
PEPPERS,4
PEREZ,2
PEREZ-SCHUPP,1
PERGL,4
PERINI,2
PERKINS,3
PERRIN,8
PERRY,7
PERTEE,4
PERTILLER,4
PERVIS,1
PETERS,6
PETERSON,340
PETERSON BANKS,2
PETITPREN,2
PETRICH,2
PETRIE,5
PETTIGREW,1
PETTIGVEW,1
PETTY,2
PEVERALL,6
PHETTEPLACE,2
PHILIPS,4
PHILLIP,1
PHILLIPS,240
PHIPPS,5
PICARDI,2
PICHARDO,2
PICKERING,1
PIEPENBRINK,1
PIEPER,2
PIERCE,4
PIKE,1
PINDER,2
PINKERTON,2
PINTO,2
PIPER,4
PIPES,4
PIPPINS,4
PISCITELLI,2
PITMAN,28
PITNER,1
PITTMAN,50
PITTS,1
PLEMMONS,1
PLEMONS,5
PLETZ,1
PLUMMER,4
PLUTA,1
PLYLER,2
PODLEWSKI,1
POE,2
POETTER,2
POGALZ,2
POLASKY,1
POLGAR,3
POLING,4
POLK,2
POLKINHORN,2
POLLACK,1
POLTROCK,4
POLZIEN,2
PONDER,47
PONSETTI,2
PONTORNO,2
POOLE,4
POOLE-FRANK,2
POPE,13
POPLIN,3
POPPELIERS,4
PORE,1
PORSHIA,2
PORTER,13
PORTO,4
POSEY,2
POSS,4
POST,3
POSTLETHWAITE,2
POSTON,1
POTEAT,2
POTTS,1
POWELL,25
POWER,3
POWERS,9
POWSER,1
PRATER,1
PRATT,4
PRAYTOR,2
PRED,2
PREGARTNER,2
PREISS,3
PRESCOTT,2
PRESNELL,94
PRESSLEY,7
PRESTON,4
PRICE,9
PRIDE,2
PRIESMEYER,1
PRIEST,2
PRILLHART,1
PRINCE,3
PRISK,1
PRITCHARD,17
PROCTOR,4
PROFFITT,71
PROFITA,2
PRUITT,7
PRYOR,3
PTAK,2
PUEBLA,1
PUFFER,1
PULVER,8
PUNCH,6
PURIFOY,1
PURSER,2
PUSATERI,1
PUTNAM,2
PYLE,2
QUEEN,5
QUESADA,1
QUILLEN,1
QUINLAN,1
QUINN,2
QUINTANA,1
QUINTERO,5
QUINTON,1
QUIRK,4
RABEK,3
RACE,4
RADFORD,6
RADOCHONSKI,1
RAGIN,2
RAGLAND,1
RAHLE,2
RAHN,3
RAICHLE,4
RAINES,4
RAINES-HARDING,1
RAINEY,3
RALEIGH,2
RAMEY,10
RAMIREZ,4
RAMOS,4
RAMOS- S BELAVAL,2
RAMSEY,53
RANDALL,7
RANDLES,2
RANDOLPH,130
RANKIN,4
RANOSTAJ,2
RARDAIN,4
RASH,2
RASKIN,4
RATHBONE,23
RATHBURN,35
RATHS,2
RATLIFF,6
RAUZI,1
RAY,295
RAYE,7
RAYFIELD,2
RAYGOZA,1
RAYMER,2
RAYNSFORD,2
READY,2
REAGAN,2
REAM,2
REATH,5
REATO-STAMEY,2
REBELLO,2
RED LEAF,2
REDDEN,5
REDFERING,2
REDMAN,2
REDMON,1
REECER,10
REED,5
REEP,1
REESE,4
REEVES,13
REHFIELD,2
REID,10
REIF,4
REIN,4
REINHARDT,2
REMOTIGUE,1
REMY,2
RENALDO,2
RENEGAR,3
RENFRO,160
RENFROE,1
RENO,4
REPOLEY,2
RESCIGNO,1
RESTALL,4
REYES,2
REYNOLDS,19
RHEA,1
RHEINBOLT,1
RHIANNON,2
RHINEHART,2
RHODEN,3
RHODES,11
RHUDY,2
RHYNER,1
RICE,17
RICH,7
RICHARD,4
RICHARDS,11
RICHARDSON,21
RICHTER,2
RICKER,2
RICKERT,2
RICKEY,2
RICKMAN,5
RIDDLE,239
RIDGEWAY,2
RIDLEY,1
RIEHM,7
RIESNER,1
RIGGS,1
RILEY,2
RINGLER,5
RINGO,2
RIOLLANO,2
RISER,2
RISLEY,2
RISLEY-EVANS,2
RISS,1
RITCHIE,2
RIVENBARK,1
RIVERS,2
RIZZUTO,1
ROARK,1
ROBBERTS,2
ROBBINS,4
ROBERSON,2
ROBERT,1
ROBERTS,36
ROBERTSON,57
ROBINSON,681
ROBINSON-WATERS,1
ROBISON,6
ROCHA,4
ROCKINGBEAR,2
RODDY,2
RODGERS,2
RODRIGUEZ,6
RODULFO,4
ROE,1
ROEDER,1
ROGERS,30
ROGGE,1
ROHL,4
ROHRBAUGH,1
ROHWEDER,4
ROLAND,25
ROLDAN,1
ROLETT,4
ROLLINS,1
ROMERO,2
RONEMUS,1
ROOT,4
ROPER,7
ROSA,1
ROSALES,1
ROSE,24
ROSENBERGER,2
ROSENTHAL,1
ROSPLOCK,2
ROSS,4
ROSSETER,3
ROSSI,4
ROTE,3
ROTH,7
ROTH-SKINNER,1
ROTHE,1
ROTHE-SKINNER,2
ROTHOUSE,4
ROTZOLL,1
ROUNTREE,8
ROUSH,2
ROUSSEAU,4
ROWE,11
ROWLAN,1
ROWLAND,5
ROY,5
ROYAL,1
ROYEN,4
ROZELLE,4
ROZMUS,4
RUARK,3
RUBIACO,2
RUDASILL,1
RUDICIL,1
RUDOLPH,4
RUDY,2
RUEBELING,4
RUECKER,3
RUEGG,2
RULE,2
RUNYON,3
RUSH,2
RUSSELL,9
RUSSELLO,3
RUSSOM,2
RUTAN,1
RUTH,1
RUTHERFORD,6
RUTKOWSKI,4
RUTKOWSKY,6
RYALL,2
RYAN,15
RYDER,6
RYMER,2
RYON,2
SABATO,4
SABRI,3
SAIN,2
SALLEY,2
SAMEL,2
SAMPSON,6
SAMS,6
SAMUEL,2
SANCHEZ,5
SANCHEZ-VICENTE,2
SANCHEZ FABIAN,1
SANCHEZ LOPEZ,2
SAND,4
SANDERS,2
SANDLIN,2
SANDS,4
SANFORD,1
SANTORO,1
SANTOYO,2
SAPP,4
SASEK,2
SASSER,3
SAULS,1
SAULSBURY,1
SAUNDERS,2
SAVAGE,7
SAVARD,4
SAXTON,1
SAYLES,3
SCARBOROUGH,4
SCARBROUGH,3
SCARIOT,1
SCARR,2
SCHANDER,1
SCHANEBERGER,2
SCHARF,4
SCHAROLD,6
SCHEAFFER,1
SCHECKEL,2
SCHEFFLER,2
SCHELL,1
SCHESTAG,4
SCHIESSLE,2
SCHIFFHAUER,1
SCHILLER,2
SCHILLING,1
SCHLAGER,2
SCHMIDT,2
SCHMIEDEL,1
SCHMITT,2
SCHNEIDER,5
SCHOEN,4
SCHOESSOW,2
SCHOOF,1
SCHORTINGHOUSE,5
SCHRECK,1
SCHREIBER,1
SCHUCHARDT,2
SCHUCHART,2
SCHULCZ,4
SCHULER,2
SCHULTZ,7
SCHULTZ-DAVIS,2
SCHULZ,2
SCHULZE,1
SCHUMACHER,1
SCHWARTZ,3
SCHWOCK,9
SCOGGINS,1
SCOTT,55
SCRIBNER,1
SCRUGGS,4
SEABERG,2
SEAL,1
SEALS,1
SEALY,4
SEASE,2
SEATON,8
SEBASTIAN,4
SEDBERRY,6
SEE,2
SEELBACH,3
SEIBERT,1
SEIGEL,1
SEIPEL,1
SELF,5
SELLERS,6
SELTZER,4
SEMON,6
SENECHAL,2
SENJAN,4
SENNET,1
SENSENEY,6
SERAFINI,2
SERAN,3
SETZER,1
SEXTON,2
SFERLAZZA,1
SHACKELFORD,4
SHADE,20
SHAH,2
SHANNON,2
SHARKEY,2
SHARON,1
SHARP,2
SHARPE,10
SHAUGER,2
SHAW,16
SHAWA,1
SHEA,1
SHEAN,1
SHEEHAN,6
SHEEHAN-MOORE,1
SHEELE,2
SHEEN,4
SHEHAN,26
SHELBURNE,1
SHELDON,8
SHELL,6
SHELLOOE,2
SHELTON,38
SHEPARD,9
SHEPERD,7
SHEPHERD,94
SHEPPARD,1
SHERMAN,6
SHERRILL,2
SHERRY,4
SHIELDS,4
SHILLING,2
SHINGLETON,2
SHIPLEY,3
SHIPMAN,3
SHIPP,2
SHIRLEY,1
SHIVERS,4
SHOCK,2
SHOCKEY,4
SHOE,2
SHOOK,10
SHOUSE,2
SHOWALTER,1
SHRADER,4
SHRINER,1
SHUFORD,74
SHULER,5
SHULTZ,2
SHUMAKER,4
SHURCLIFF,2
SHURLEY,2
SHURTLEFF,2
SIAS,2
SIDERS,1
SIEFERT,5
SIERK,2
SIGMON,7
SIKORSKY-TODD,2
SILER,2
SILVER,166
SILVERMAN,2
SILVERS,324
SIMES,3
SIMMONS,71
SIMON,2
SIMONETTI,2
SIMONS,3
SIMPSON,13
SIMPSON-JONES,1
SIMS,7
SINCLAIR,7
SINCOSKIE,1
SINEATH,3
SINGLETON,10
SINK,12
SIOUI,2
SIPP,1
SISK,2
SITNICK,2
SKAGGS,3
SKELLEY-WATTS,2
SKENANDORE,4
SKIFF,2
SKILLIN,1
SKIMMIEHORN,6
SKINNER,8
SKLAR,4
SLAGLE,10
SLATER,8
SLATTERY,3
SLAYDON,1
SLICER,1
SLOAN,2
SLUDER,1
SMAJSTRLA,4
SMITH,244
SMOAK,7
SMOKER,2
SMOLAK,2
SNAVELY,1
SNELLER,5
SNIPES,2
SNOWDEN,3
SNYDER,13
SOL,2
SOLAR,1
SOLEM,2
SOLER,6
SOLESBY,4
SOLOMON,2
SOMERS,2
SOMERSET,7
SONDEREGGER,1
SONIER,4
SOREL,2
SOSTACK,1
SOUTH,6
SOUTHER,18
SOUTHERTON,2
SOWA,3
SOWERS,1
SPACE,1
SPARGO,2
SPARKMAN,2
SPARKS,74
SPARKS WHITSON,1
SPARLIN,4
SPARR,2
SPAULDING,2
SPECKMANN,2
SPEED,2
SPEIGHTS,2
SPELL,1
SPENCER,4
SPICER,1
SPICZYNSKI,2
SPIRAKIS,4
SPITZER,1
SPIVEY,3
SPLAIN,1
SPONSLER,2
SPRANK,6
SPRENGLMEYER,1
SPRINGER,1
SPROUSE,8
SQUIRES,2
SRIVASTAVA,2
ST PIERRE,1
ST YVES,2
STAAB,9
STABB,2
STACY,1
STAFFORD,24
STALEY,3
STALLINGS,7
STALNAKER,3
STAMEY,14
STAMPER,3
STANFILL,6
STANKUS,1
STANLEY,8
STANSBERRY,21
STANTON,1
STANTON-GULLAK,1
STAPLETON,1
STARK,5
STARKE,1
STARNES,1
STARR,4
STATON,4
STAUDER,1
STEBBEDS,4
STEBBINS,2
STEDILLIE,3
STEDMAN,2
STEELE,2
STEEVER,2
STEFANICK,6
STEIGERWALD,2
STEINBERGER,1
STEINEL,1
STEINER,1
STELLA,4
STENSON,4
STEPHENS,7
STERLING,2
STETSON,4
STETZLER,4
STEUER,7
STEVENS,31
STEVENSON,16
STEWARD,4
STEWART,27
STIEFVATER,4
STILES,26
STILL,2
STILLE,3
STILLS,1
STILLWELL,6
STINSON,13
STIPEK,2
STITH,4
STOCKWELL,6
STOKES,1
STONE,12
STONER,3
STONEY,1
STORIE,6
STORMS,4
STORRS,6
STOVER,4
STOWE,1
STPIERRE,1
STRAND,4
STRAUSS,1
STREET,30
STREICHLER,2
STRICKLAND,17
STRICKLIN,2
STRILAEFF,1
STROBEL,2
STROUD,4
STROUD-LUSK,1
STROUP,1
STROUPE,4
STUETZEL,1
STULTZ,1
STUMBAUGH,2
STUMP,23
STURGILL,2
STYLES,108
STYLES-BOONE,1
SUGGS,1
SUGIOKA,2
SULLINS,8
SULLIVAN,8
SUMMERLIN,15
SUNDSTROM ALLEN,2
SURBER,6
SURFACE,2
SURRATT,1
SURRETT,6
SUSA,1
SUTHERLAND,6
SUTTERBY,2
SUTTLES,3
SUTTON,20
SWAIM,4
SWAIN,2
SWALINSKI,2
SWANCEY,2
SWANEY,4
SWANN,33
SWANSON,4
SWARTZ,6
SWAYNGIM,4
SWEAT,3
SWEENEY,2
SWICK,2
SWINK,2
SWINNEY,1
SWORD,2
SWORM,1
SYKES,3
SZYMELEWICZ,4
TABOR,16
TALLENT,7
TALLEY,4
TAN,1
TAPIA,1
TARBUSH,4
TARLTON,1
TASIN,1
TATA,2
TATE,4
TAUJENIS,1
TAYLOR,80
TEAGUE,12
TEAL,6
TEETS,1
TEMPLE,4
TERRELL,5
TERRY,5
TESTER,3
THACKER,19
THARP,1
THATCHER,1
THEISORIDES,1
THEODORDES-GRINESTAF,1
THEODORIDES,9
THERIAC,2
THERRIEN,1
THIELE,1
THIELEMANN,1
THIELEN,2
THISSE,2
THOMAS,305
THOMASON,57
THOME,1
THOMPSON,56
THOMPSON-FERREIRA,1
THOMSEN,4
THORNBURY,4
THORNETT,3
THORNTON,3
THORNTON-HAMILTON,1
THORPE,3
THRONEBURG,1
THURSTON,3
TIBBETTS,2
TIBBITS,7
TIDWELL,4
TIGHE,2
TILLEY,2
TILLOTSON,2
TILSON,3
TIMBERLAKE,1
TINGLEY,2
TINNEY,2
TIPTON,246
TIPTON-FOX,2
TIRRILL,2
TODD,14
TOIA,1
TOLAR,2
TOLBERT,4
TOLLEY,5
TOMANY,2
TOMBERLIN,27
TOMCHO,4
TOMERLIN,1
TOMPKINS,2
TOOMEY,4
TORBETT,1
TORO,4
TORRES,2
TOWE,17
TOWERY,4
TOWN,2
TOWNSEND,8
TOWNSEND-SOMERS,2
TRACY,6
TRAN,1
TRANTHAM,2
TRAUT,2
TRAVIS,3
TRAVISANO,2
TRCKA,5
TREADWAY,6
TREJO,2
TRENT,5
TRESCOTT,10
TREXLER,8
TRIMBLE,8
TRIMM-AUTREY,1
TRITTIN,2
TROBAUGH,4
TROESTER,1
TROMBLY,1
TROOP,2
TROUP,1
TROUT,2
TROUTMAN,11
TROUTT,1
TROWELL,2
TROXELL,11
TRUESDELL,2
TRUETT,5
TRUXALL,1
TSCHUDY,11
TUCKER,2
TUELL,1
TUMMEL,2
TUNKS,6
TURBYFILL,3
TURCZYN,4
TURNER,23
TURPIN,2
TURROU,2
TUTTLE,4
TWEED,4
TWIDDY,3
TWIGG,2
TY,1
TYBURSKI,1
TYGER,2
TYNER,14
TYSON,1
ULSH,2
UMSTEAD,4
UNCAPHER,1
UNGER,1
UPCHURCH,3
UPTON,9
URBAN,1
URBANI,2
VAIL,1
VALENTE,1
VALENTINE,1
VALLS,4
VAN BUSKIRK,2
VANCE,16
VANDERPOOL,1
VANHOOK,1
VANHOUTEN,2
VANMETER,2
VANOOTEGHEM,2
VARNEY,2
VAUGHAN,1
VAUGHN,1
VAUX,1
VAZQUEZ,1
VEAL,4
VELAZQUEZ,1
VENTURA,1
VERHULST,2
VERIDAL,2
VERNON,1
VERRAN,7
VESS,13
VESTAL,2
VETETO,3
VICHA,4
VICKERMAN,3
VICKERS,15
VILLOCH,3
VINCENZ,2
VINSON,9
VISCONTI,1
VOLAND,1
VOLPE,2
VON HENDY,2
VOSKA,4
WACHTER,2
WADSWORTH,1
WAGNER,6
WAHLERS,4
WAID,2
WAIT,2
WALDEN,1
WALDREP,2
WALDROP,10
WALDROUP,2
WALDRUP,6
WALES,1
WALKER,40
WALKINGSTICK,1
WALL,4
WALLACE,35
WALLER,1
WALLIN,3
WALSH,8
WALTER,2
WALTERS,14
WALTHER,1
WAMPLER,4
WAMSLEY,1
WANEZEK,4
WANTLAND,1
WANTZ,1
WARD,21
WARDEN,2
WARDLAW,2
WARLICK,1
WARNER,3
WARREN,22
WARRICK,1
WARRINER,3
WARZECHA,4
WASHBURN,2
WASHKO,1
WATERMAN,5
WATERS,4
WATKINS,11
WATKINS BROWN,2
WATROUS,10
WATSON,17
WATTS,32
