fname,n
CAMMIE,2
CAMMY,2
CAMPBELL,1
CANDACE,12
CANDI,2
CANDICE,6
CANDIDA,2
CARA,11
CAREY,1
CARIDAD,2
CARISSA,3
CARL,42
CARLA,19
CARLAS,1
CARLEIGH,2
CARLENE,4
CARLIE,4
CARLIN,2
CARLISS,2
CARLOS,4
CARLSON,2
CARLTON,4
CARLYN,2
CARMEL,2
CARMELA,2
CARMEN,8
CARMON,4
CAROL,82
CAROLE,15
CAROLINA,3
CAROLINE,9
CAROLYN,94
CARON,1
CARRIE,34
CARROL,1
CARROLL,13
CARSEI,1
CARSON,3
CARTER,1
CARTIE,2
CARY,2
CARYL,2
CASANDRA,1
CASEY,37
CASH,2
CASIE,1
CASSANDRA,10
CASSIA,2
CASSIDY,2
CASSIE,6
CATHERINE,36
CATHLEEN,2
CATHRYN,5
CATHY,41
CATLIN,3
CATORI,1
CAYCE,1
CECELIA,2
CECIL,18
CECILE,4
CECILIA,1
CEDAR,2
CEDRIC,2
CELESTE,5
CELIA,2
CEPHAS,2
CESRE,2
CHAD,28
CHADD,2
CHADRICK,1
CHANCE,2
CHANDRA,2
CHANNING,2
CHANTEL,4
CHARITY,12
CHARLENE,19
CHARLES,381
CHARLI,1
CHARLIE,22
CHARLOTT,1
CHARLOTTE,22
CHASE,2
CHASIDY,2
CHASITY,3
CHASTITY,5
CHELSEA,14
CHELSEY,4
CHERI,2
CHERIE,2
CHERINE,2
CHERITH,3
CHERYL,38
CHESTER,10
CHIBUTUTU,2
CHIEDOZIE,1
CHIRSTOPHER,1
CHLOE,11
CHRIS,18
CHRISSIE,2
CHRISTA,3
CHRISTAL,2
CHRISTEL,8
CHRISTEN,6
CHRISTIAN,25
CHRISTIANA,1
CHRISTIANNE,2
CHRISTIE,11
CHRISTIN,4
CHRISTINA,55
CHRISTINE,63
CHRISTOPHER,178
CHRISTY,34
CHRISY,2
CHRYSANNE,1
CHRYSTA,2
CHRYSTAL,4
CHUCK,1
CHUCKY,2
CIERRA,1
CIJI,1
CILLA,1
CINDY,23
CINNAMON,4
CLAIBORNE,2
CLAIR,5
CLAIRE,9
CLARA,23
CLARENCE,32
CLARISSA,4
CLARK,3
CLARKE,1
CLARKSTON,2
CLAUDE,24
CLAUDETTE,6
CLAUDIA,19
CLAUDINE,2
CLAY,12
CLAYBORN,3
CLAYTON,10
CLEDA,2
CLELA,2
CLELIA,2
CLEMENCIA,1
CLEO,4
CLEOPHAS,2
CLIFF,2
CLIFFIRD,2
CLIFFORD,33
CLIFTON,8
CLILLON,2
CLINT,2
CLINTON,9
CLOVIS,2
CLYDE,33
CODEY,2
CODY,27
COLBY,10
COLE,4
COLEMAN,3
COLETTE,1
COLLEEN,11
COLT,2
COLTON,7
CONLEY,2
CONNER,2
CONNIE,40
CONNO,2
CONNOR,1
CONRAD,5
CONSTANCE,13
CONWAY,2
CORA,16
CORBIN,2
CORDELLA,2
CORETHA,2
COREY,11
CORINE,2
CORINNE,5
CORNELIA,1
CORNELIS,2
CORRINA,1
CORRINE,3
CORTNEY,6
CORY,11
COTY,3
COURTLAND,2
COURTNEY,20
COY,11
CRAIG,22
CRATE,2
CREED,2
CRESTON,1
CRISSY,2
CRISTA,2
CRISTAL,1
CRISTEN,1
CRISTIN,2
CRISTY,1
CRUTCHER,1
CRYSTAL,78
CRYSTLE,1
CURTIS,26
CURTISHA,1
CYLDE,2
CYNDI,2
CYNTHIA,90
CYRENA,2
CYRUS,5
D,4
DAIL,1
DAILEN,1
DAIN,2
DAINNE,2
DAINYELL,2
DAIREN,1
DAISEY,2
DAISY,4
DAKOTA,8
DAKOTHA,2
DALE,30
DALILA,2
DALLAS,14
DALTON,8
DAMON,4
DAN,13
DANA,20
DANAH,2
DANE,1
DANI,2
DANIEL,145
DANIELLA,2
DANIELLE,23
DANNA,1
DANNY,60
DANYELE,2
DAPHNE,9
DARBY,1
DARCI,2
DAREL,1
DARGAN,1
DARICK,2
DARIN,5
DARIUS,4
DARKES,2
DARLA,5
DARLEEN,1
DARLENE,26
DARNELL,1
DAROLYN,1
DARREL,5
DARRELL,41
DARREN,17
DARRIN,7
DARRIS,2
DARRON,1
DARRYL,14
DARYL,15
DAULTON,3
DAVE,2
DAVIA,2
DAVID,405
DAVIE,2
DAVINA,2
DAVIS,2
DAWN,35
DAYTON,2
DAZZIE,2
DEAMIE,2
DEAN,15
DEANA,3
DEANNA,15
DEANNE,2
DEBBIE,20
DEBORA,7
DEBORAH,145
DEBRA,63
DEDERIA,2
DEDRA,2
DEENA,2
DEIDRA,1
DEIRDRE,2
DEITRA,4
DELANE,2
DELANIA,1
DELDANA,2
DELIA,1
DELIAH,2
DELLA,7
DELMAR,2
DELORES,9
DELORIS,2
DELPHIA,1
DENA,4
DENE',2
DENISE,28
DENITA,2
DENNA,3
DENNIA,2
DENNIS,107
DENNISE,4
DENNY,2
DENVER,2
DEONDRE,1
DEONNA,2
DEONNE,2
DERBY,2
DEREK,19
DERICK,6
DERRICK,15
DERWIN,4
DERYL,2
DESIREE,12
DESTIN,2
DESTINI,3
DESTINY,1
DETRA,1
DEVEN,1
DEVIN,6
DEVON,4
DEVOYD,1
DEWAYNE,2
DEWEY,10
DEWITT,1
DEXTER,2
DIAMTHA,2
DIANA,41
DIANE,54
DIANNA,6
DIANNE,8
DIETRICH,2
DILLION,2
DILLON,12
DINA,2
DINAH,6
DIXIE,9
DOCK,6
DOLLIE,4
DOLLY,4
DOLPH,2
DOLPHUS,2
DOMINIC,1
DOMINICK,1
DON,7
DONA,6
DONALD,203
DONAVAN,2
DONELLE,2
DONNA,182
DONNIE,22
DONNY,4
DONOVAN,3
