lname,src,n
DILS,B,1
DINGES,B,1
DINGMAN,A,1
DIPIETRO,B,1
DIPPER,B,3
DISNEY,A,1
DISNEY,B,1
DIXON,A,2
DIXON,B,2
DOAN,A,3
DOAN,B,2
DOANE,A,2
DOANE,B,2
DOBROGOSZ,A,1
DOBROGOSZ,B,1
DOBROW,A,2
DOBROW,B,2
DOBSON,A,2
DOBSON,B,2
DOCKERY,B,2
DODD,A,6
DODD,B,4
DODSON,A,2
DODSON,B,2
DOLL,A,2
DOLL,B,1
DONAGHY,A,2
DONALD,B,1
DONEY,A,2
DONEY,B,2
DONNAHOO,A,3
DONNAHOO,B,3
DONNELLY,A,1
DONOVAN,A,1
DONOVAN,B,1
DOOLEY,A,1
DOOLEY,B,1
DOOLIN,A,1
DOOLIN,B,1
DORAZIO,A,1
DORAZIO,B,1
DOSWELL,A,1
DOSWELL,B,1
DOTTS,A,2
DOTTS,B,2
DOUGHERTY,A,1
DOUGHERTY,B,1
DOUGHTY,A,1
DOUGLAS,A,5
DOUGLAS,B,2
DOUGLASS,A,2
DOUGLASS,B,1
DOVER,A,8
DOVER,B,7
DOWDLE,A,1
DOWDLE,B,1
DOWELL,A,1
DOWELL,B,1
DOWIS,A,2
DOWIS,B,3
DOWLING,A,2
DOWLING,B,2
DOWNER,A,1
DOWNER,B,1
DOWNES,A,1
DOWNEY,A,5
DOWNEY,B,2
DOWNING,A,1
DOWNING,B,3
DOWNING-NYEGARD,B,1
DOX,A,2
DOX,B,1
DOYLE,A,3
DOYLE,B,4
DRACUP,A,2
DRACUP,B,3
DRAYTON,B,2
DREGER,A,2
DREGER,B,2
DREWRY,A,1
DREWRY,B,1
DREYER,A,4
DREYER,B,3
DRIGGERS,A,2
DRIGGERS,B,2
DRUMMOND,A,2
DRUMMOND,B,1
DRUMMONDS,B,2
DRURY,B,1
DRUSKINS-DEVEE,B,1
DUBOIS,A,1
DUBOIS,B,1
DUCHAN,A,1
DUCHAN,B,1
DUCHARME,A,1
DUCHARME,B,1
DUCHENEAU,A,1
DUCKETT,A,5
DUCKETT,B,8
DUCKWALL,B,1
DUENAS,A,1
DUENAS,B,1
DUERKES,A,1
DUGGER,A,2
DUGGER,B,1
DUGUID,A,1
DUGUID,B,1
DUKE,B,1
DULA,A,2
DULA,B,2
DULANEY,A,8
DULANEY,B,9
DUNCAN,A,30
DUNCAN,B,32
DUNHAM,A,1
DUNHAM,B,1
DUNN,A,5
DUNN,B,6
DUPREE,A,1
DUPREE,B,1
DURHAM,B,2
DURIE,A,1
DURIE,B,1
DURKIN,B,1
DUST,B,1
DUVALL,A,2
DUVALL,B,3
DWYER,B,2
DYER,A,1
DYER,B,3
DZUIBLINSKI,B,1
EALA,B,1
EARLEY,A,1
EARLY,A,1
EARLY,B,2
EARNHART,A,1
EARNHART,B,1
EARP,A,2
EARP,B,2
EASLER,A,1
EASTHAM,A,2
EASTHAM,B,2
EATON,A,2
EATON,B,2
EBERWEIN,A,2
EBERWEIN,B,2
ECKARD,A,2
ECKARD,B,2
ECKENRODE,A,2
ECKHARDT,B,1
EDBORG,A,1
EDBORG,B,1
EDDINGS,B,1
EDDS,A,1
EDDS,B,1
EDGE,A,7
EDGE,B,5
EDMONDS,A,2
EDMONDS,B,3
EDMUNDSON,A,1
EDMUNDSON,B,1
EDSON,A,2
EDSON,B,2
EDWARDS,A,205
EDWARDS,B,193
EFFLER,A,7
EFFLER,B,5
EFSTATION,A,1
EGAN,A,1
EGAN,B,1
EGGLETON,A,1
EGGLETON,B,3
EGLINGTON,A,1
EICHOLTZ,A,1
EICHORN,B,1
EISENHAUER,B,2
ELAM,A,2
ELAM,B,1
ELBEL,A,1
ELDER,A,2
ELDER,B,2
ELDERBROCK,B,1
ELDRIDGE,A,1
ELDRIDGE,B,1
ELKINS,A,46
ELKINS,B,52
ELLER,A,1
ELLER,B,1
ELLIOTT,A,22
ELLIOTT,B,20
ELLIS,A,7
ELLIS,B,8
ELLISON,B,1
ELSEGOOD,A,1
ELSEGOOD,B,1
ELWOOD,A,2
ELWOOD,B,2
ELWORTH,A,1
ELWORTH,B,1
EMERSON,A,2
EMERSON,B,2
EMILY,A,1
EMORY,A,1
EMORY,B,1
ENGEL,A,1
ENGEL,B,1
ENGEL-BAKER,A,1
ENGEL-BAKER,B,1
ENGELHARDT,A,2
ENGELHARDT,B,2
ENGELMAN,B,1
ENGLAND,A,29
ENGLAND,B,26
ENGLE,A,2
ENGLE,B,1
ENGLISH,A,11
ENGLISH,B,10
ENLOE,B,4
ENNIS,B,1
ENSLEY,A,1
ENSLEY,B,1
EPPLER,A,1
EPPLER,B,1
ERICKSON,A,3
ERICKSON,B,3
ERLANDSON,B,3
ERSKINE,A,1
ERSKINE,B,1
ESCRUCERIA,A,1
ESPOSITO,B,2
ESTEP,A,2
ESTEP,B,2
ESTES,A,10
ESTES,B,8
ETEN,A,2
ETEN,B,2
ETHERIDGE,A,4
ETHERIDGE,B,4
ETZOLD,A,1
ETZOLD,B,1
EVANS,A,30
EVANS,B,26
EVERETT,A,2
EVERETT,B,2
EVOY,A,1
EVOY,B,1
EWING,A,2
EWING,B,2
EXUM,A,1
EXUM,B,2
EZELL,B,1
EZZELLE,A,2
EZZELLE,B,2
FABER,A,1
FABER,B,1
FABRIKANT,B,1
FADDEN,A,2
FAIRCHILD,A,4
FAIRCHILD,B,4
FALES,A,1
FALLER,A,2
FALLER,B,2
FALLON,A,1
FALLON,B,1
FAMULARO,A,2
FAMULARO,B,2
FARBER,B,1
FARESE,A,1
FARLEY,B,2
FARMER,A,5
FARMER,B,7
FARRELL,A,3
FARRELL,B,3
FAUCETTE,A,1
FAUCETTE,B,2
FAULKER,A,1
FAULKNER,A,3
FAULKNER,B,2
FAVOR,A,1
FAVOR,B,1
FAW,A,2
FAW,B,2
FAWCETT,A,1
FEASEL,A,2
FEASTER,A,2
FEASTER,B,2
FEATHER,A,1
FEATHER,B,1
FEDERMAN,B,1
FELDMAN,A,1
FELDMAN,B,1
FELTS,A,2
FELTS,B,3
FEMIANO,A,1
FEMIANO,B,1
FEMINELLA,A,1
FEMINELLA,B,1
FENDER,A,72
FENDER,B,61
FENSTAD,A,1
FENSTAD,B,1
FEREBEE,B,2
FERENCE,A,2
FERENCE,B,2
FERGUSON,A,11
FERGUSON,B,11
FERNANDES-HALL,A,2
FERNANDES-HALL,B,2
FERNANDEZ,A,1
FERNANDEZ,B,1
FERRARO,A,4
FERRARO,B,2
FERREIRA,A,1
FERREIRA,B,2
FERRELL,A,2
FERRELL,B,1
FESTICH,A,2
FESTICH,B,1
FIELD,B,1
FIELDER,A,1
FIELDS,A,2
FIELDS,B,2
FIGUEREDO,A,1
FIGUEREDO,B,1
FILBAN,A,3
FILBAN,B,3
FINCH,A,1
FINCH,B,2
FINK,A,1
FINK,B,1
FINKE,A,1
FINKELS,A,1
FINKELSTEIN,B,1
FINKLEA,B,1
FINLEY,A,1
FISCHER,B,1
FISHBACH,A,1
FISHBACH,B,1
FISHER,A,4
FISHER,B,3
FITZGERALD,A,2
FITZGERALD,B,4
FITZGIBBON,A,3
FITZGIBBON,B,3
FLAKE,A,1
FLANAGAN,A,1
FLANAGAN,B,1
FLANIGAN,A,1
FLANIGAN,B,1
FLECKENSTEIN,A,5
FLECKENSTEIN,B,6
FLEENER,B,2
FLEISCHMAN,A,1
FLEISCHMAN,B,1
FLETCHER,A,1
FLETCHER,B,2
FLINT,B,1
FLOAN,A,1
FLOAN,B,1
FLORENCE,A,1
FLOWERS,B,4
FLOYD,A,5
FLOYD,B,4
FLYNN,A,6
FLYNN,B,5
FOCH,A,1
FOCH,B,1
FOLCK,A,2
FOLEY,A,1
FOLLIN,B,2
FONDAW,A,1
FONDAW,B,1
FORBES,A,18
FORBES,B,17
FORD,A,4
FORD,B,4
FORDE,A,1
FORDE,B,1
FORDHAM,A,1
FORE,A,2
FORE,B,2
FOREMAN,A,1
FOREMAN,B,1
FORKNER,A,1
FORSYTHE-NEWELL,A,2
FORSYTHE-NEWELL,B,2
FORTNER,A,21
FORTNER,B,21
FORTUNE,A,1
FORTUNE,B,1
FOSTER,A,2
FOSTER,B,2
FOUST,B,2
FOUTS,A,2
FOUTS,B,1
FOWLER,A,3
FOWLER,B,6
FOX,A,211
FOX,B,202
FOX-HORTON,B,1
FOXX,A,15
FOXX,B,18
FOY,A,2
FOY,B,1
FRABONI,A,2
FRABONI,B,2
FRANCIS,A,2
FRANCIS,B,2
FRANK,A,6
FRANK,B,3
FRANKLIN,A,28
FRANKLIN,B,26
FRANKS,A,2
FRANKS,B,2
FRANLKIN,A,1
FRAZER,A,1
FRAZER,B,1
FRAZIER,A,1
FRAZIER,B,1
FREDERICK,A,5
FREDERICK,B,3
FREDRICKSON,A,2
FREDRICKSON,B,2
FREEBORN,A,1
FREEBORN,B,1
FREEDLE,A,1
FREEMAN,A,13
FREEMAN,B,18
FRENNA,A,1
FRENNA,B,1
FRIEDMAN,A,1
FRIEND,A,4
FRIEND,B,4
FRISBEE,A,2
FRISCH,A,1
FRISCH,B,1
FRITZ,A,1
FRITZ,B,3
FROEMMING,A,3
FROILAND,A,2
FROILAND,B,2
FRYE,A,12
FRYE,B,12
FULLER,A,3
FULLER,B,4
FUNK,A,2
FUQUA,A,2
FUQUA,B,3
FURBAY,B,1
FURLONG,A,1
FURMAN,A,1
FURMAN,B,2
FUTRELL,B,2
FYLER,A,1
FYLER,B,1
GABRIEL,A,2
GABRIEL,B,1
GADDIS,B,1
GAINES,A,2
GAINES,B,4
GALE,A,1
GALE,B,1
GALGANO,A,1
GALGANO,B,1
GALL,A,1
GALL,B,1
GALLANT,B,1
GALLIGAN,A,1
GALLOWAY,A,1
GALTON,A,1
GALTON,B,2
GALVIN,A,1
GALVIN,B,1
GANGE,A,1
GANGE,B,1
GARASHI,B,1
GARBER,A,1
GARBER,B,1
GARCIA,A,3
GARCIA,B,4
GARDNER,A,25
GARDNER,B,19
GARLAND,A,56
GARLAND,B,53
GARLAND-PETERSON,A,1
GARMON,A,2
GARMON,B,3
GARNEAU,A,1
GARNEAU,B,1
GARNER,A,2
GARNER,B,1
GARRELL,A,1
GARRELL,B,1
GARREN,A,2
GARREN,B,2
GARRETSON,A,2
GARRETSON,B,3
GARRETT,A,2
GARRETT,B,2
GARRIQUES,A,3
GARRIQUES,B,3
GARRIS,A,1
GARRIS,B,1
GARY,A,1
GASKINS,A,2
GATCHELL,B,1
GATES,A,4
GATES,B,4
GATTS,B,3
GAVENUS,A,3
GAVENUS,B,4
GAYLE,A,1
GAYLE,B,1
GAZZINGAN,A,1
GAZZINGAN,B,1
GEARY,B,1
GEBBY,B,1
GEDEON,A,1
GEDEON,B,1
GEISER,A,3
GEISER,B,3
GEISSLER-CRAIN,A,1
GEISSLER-CRAIN,B,1
GEIST,B,2
GEORGE,A,8
GEORGE,B,5
GEOUGE,A,37
GEOUGE,B,33
GERACI,A,2
GERACI,B,2
GERAGHTY,A,1
GERAUGHTY,B,2
GERMAINE,A,5
GERMAINE,B,2
GETIRAY,A,1
GETZ,A,2
GETZ,B,2
GEYER,B,1
GIARDINA,A,6
GIARDINA,B,6
GIBBONS,B,1
GIBBS,A,30
GIBBS,B,31
GIBSON,A,3
GIBSON,B,3
GILBERT,A,6
GILBERT,B,5
GILES,A,2
GILES,B,2
GILL,A,2
GILL,B,2
GILLESPIE,A,17
GILLESPIE,B,17
GILLEY,A,16
GILLEY,B,14
GILLIAM,A,2
GILLIAM,B,3
GILLIS,A,3
GILLIS,B,2
GILMOUR,A,2
GILMOUR,B,4
GILSON,A,1
GIMBEL,B,1
GINN,A,1
GINN,B,1
GIRARD,B,1
GIRAUD,B,1
GITT,A,1
GITT,B,1
GITTINGS,A,1
GIUSTINIANO,A,2
GIUSTINIANO,B,2
GLANCY,A,2
GLANCY,B,2
GLASS,B,1
GLATFELTER,A,1
GLATFELTER,B,1
GLENN,A,4
GLENN,B,2
GLICK,A,1
GLICK,B,1
GLOVER,A,4
GLOVER,B,5
GODFREY,A,6
GODFREY,B,5
GODSHALL,A,2
GOEBEL,A,2
GOEBEL,B,1
GOETZ,A,1
GOFORTH,A,4
GOFORTH,B,4
GOHEEN,A,1
GOLCHER,A,1
GOLCHER,B,2
GOLDBERG,A,1
GOLDBERG,B,3
GOLDMAN,A,1
GOLDMAN,B,1
GOLDSTEIN,A,4
GOLDSTEIN,B,2
GOLDTHWAIT,A,1
GOLDTHWAIT,B,1
GOLIBART,A,1
GOLIBART,B,2
GOMANIOUK,A,1
GOMANIOUK,B,1
GOMEZ,B,1
GONCZY,A,2
GONCZY,B,2
GONZALES,B,1
GONZALEZ,A,1
GONZALEZ,B,1
GOOCH,A,1
GOOCH,B,1
GOOD,A,3
GOOD,B,3
GOODLETTE,A,1
GOODLETTE,B,1
GOODMAN,A,3
GOODMAN,B,3
GOODSON,A,6
GOODSON,B,6
GORDON,A,11
GORDON,B,10
GORE,A,1
GORMAN,A,1
GORMLEY,B,2
GORTNEY,A,18
GORTNEY,B,17
GOSE,A,1
GOSE,B,2
GOSNELL,A,5
GOSNELL,B,3
GOSSELIN,A,1
GOSSELIN,B,1
GOUGE,A,51
GOUGE,B,46
GOUVIA,A,1
GOUVIA,B,1
GOWEN,A,2
GRAGG,A,2
GRAGG,B,2
GRAHAM,A,9
GRAHAM,B,5
GRAMLING,A,1
GRANING,A,2
GRANING,B,2
GRANT,A,4
GRANT,B,3
GRAVELIE,A,1
GRAVELIE,B,1
GRAVES,A,3
GRAVES,B,3
GRAY,A,1
GRAY,B,3
GRAYBEAL,A,3
GRAYBEAL,B,3
GREATHOUSE,A,1
GREATHOUSE,B,1
GREBENSHIKOV,A,1
GREBENSHIKOV,B,2
GREBENSHIKOVA,A,1
GREBENSHIKOVA,B,1
GRECO,A,3
GRECO,B,2
GREEAR,B,2
GREEN,A,5
GREEN,B,7
GREENBERG,A,1
GREENE,A,27
GREENE,B,32
GREENWELL,A,4
GREENWELL,B,4
GREER,A,2
GREER,B,2
GREGG,B,1
GREGOR,A,2
GREGOR,B,2
GREGORY,A,17
GREGORY,B,17
GREINER,B,1
GRENELL,A,3
GRENELL,B,2
GRESENS,A,2
GRESENS,B,2
GREULICK,A,2
GREULICK,B,2
GREY,B,2
GRIBBLE,A,1
GRIBBLE,B,1
GRIER,A,5
GRIER,B,6
GRIFFIN,A,18
GRIFFIN,B,15
GRIFFITH,A,16
GRIFFITH,B,15
GRIGGS,A,10
GRIGGS,B,11
GRIMES,A,4
GRIMES,B,4
GRINDSTAFF,A,77
GRINDSTAFF,B,69
GRINESTAFF,A,3
GRINESTAFF,B,3
GRINNELL,A,1
GRINNELL,B,1
GRINSTEAD,B,2
GRISWOLD,A,2
GRISWOLD,B,2
GROOMS,A,3
GROOMS,B,3
GROSS,A,2
GROSS,B,2
GROVER,A,1
GROVES,A,2
GROVES,B,2
GRUNDEN,A,2
GRUNDEN,B,3
GRUNDSTROM,A,2
GRUNDSTROM,B,2
GUCCIARDO,A,4
GUCCIARDO,B,4
GUDENKAUF,A,1
GUDENKAUF,B,1
GUENTHER,A,2
GUENTHER,B,2
GUERLAIN,A,1
GUERRA,B,1
GUEST,A,3
GUEST,B,3
GUFFY,A,2
GUFFY,B,2
GUGERTY,A,1
GUICHENEY,B,2
GUILL,A,1
GUINN,A,4
GUINN,B,2
GULESIAN,A,2
GULESIAN,B,2
GULLAK,B,2
GUMINA,A,1
GUMINA,B,1
GUNDERSEN,A,1
GUNDERSEN,B,1
GUNN,A,2
GUNN,B,2
GUNTER,A,6
GUNTER,B,6
GURL,A,1
GURL,B,1
GURLEY,A,29
GURLEY,B,25
GUTHRIE,B,2
GUTKNECHT,B,2
GUY,A,1
GUY,B,2
GUYNN,A,1
GUYNN,B,1
GUYTON,B,1
GUZEK,A,2
GUZEK,B,2
GWALTNEY,B,1
HAAGA,A,2
HAAGA,B,2
HAAS,A,1
HAAS,B,1
HABANEC,A,1
HABANEC,B,1
HABERTHIER,A,1
HABERTHIER,B,1
HACKNEY,A,1
HACKNEY,B,1
HAGERMAN,A,5
HAGERMAN,B,5
HAGY,A,1
HAGY,B,1
HAIMOWITZ,B,2
HAINES,A,1
HAINES,B,1
HAIRE,A,3
HAIRE,B,3
HALBKAT,A,1
HALDEMAN,A,5
HALDEMAN,B,4
HALEY,A,1
HALEY,B,2
HALKER,A,2
HALKER,B,2
HALL,A,57
HALL,B,57
HALLMAN,A,2
HALLMAN,B,2
HALLMON,A,1
HALLMON,B,1
HALPIN,A,2
HALPIN,B,2
HAMBY,A,4
HAMBY,B,4
HAMELINK,A,2
HAMELINK,B,1
HAMES,B,3
HAMILTON,A,2
HAMILTON,B,4
HAMITER,A,1
HAMLET,B,2
HAMLIN,A,1
HAMM,A,1
HAMM,B,1
HAMMACK,A,1
HAMMACK,B,1
HAMMAKER,A,2
HAMMAKER,B,2
HAMMOND,A,5
HAMMOND,B,5
HAMMONDS,A,6
HAMMONDS,B,8
HAMMONS,A,1
HAMMONS,B,1
HAMPTON,A,3
HAMPTON,B,2
HANCOCK,A,3
HANCOCK,B,3
HANEY,A,26
HANEY,B,22
HANNAH,A,2
HANNAH,B,1
HANNUSH,A,1
HANNUSH,B,1
HANSEN,A,4
HANSEN,B,4
HAPPER,B,1
HARBIN,A,1
HARBIN,B,1
HARDEN,A,1
HARDESTY,B,1
HARDIE,A,1
HARDIN,A,11
HARDIN,B,7
HARDING,A,13
HARDING,B,11
HARDMAN,A,1
HARDMAN,B,1
HARDY,A,1
HARDY,B,1
HARE,A,1
HARE,B,1
HARGRAVE,A,1
HARGRAVE,B,1
HARKINS,B,2
HARLEM,A,1
HARLEM,B,1
HARLEY,A,3
HARLEY,B,2
HARMON,A,7
HARMON,B,5
HARMS,B,1
HAROLD,B,1
HARPER,A,6
HARPER,B,8
HARR,B,1
HARRELL,A,1
HARRELL,B,1
HARRINGTON,B,1
HARRIS,A,58
HARRIS,B,54
HARRISON,A,24
HARRISON,B,20
HARROLD,A,2
HARROLD,B,2
HARRUP,A,1
HARRUP,B,1
HARRY,A,1
HARRY,B,1
HART,A,3
HART,B,3
HARTEN,A,2
HARTEN,B,2
HARTNELL,A,3
HARTNELL,B,3
HARTOM,A,1
HARTOM,B,1
HARTSELL,A,2
HARTSELL,B,4
HARTSOCK,A,1
HARVEY,A,4
HARVEY,B,4
HARWOOD,A,2
HARWOOD,B,2
HASKELL,B,1
HASROUTY,A,1
HASSEN,A,2
HASSEN,B,3
HASTY,A,1
HASTY,B,1
HATCHER,A,1
HATCHER,B,1
HATFIELD,A,3
HATFIELD,B,3
HATHCOCK,A,6
HATHCOCK,B,5
HATLEY,A,8
HATLEY,B,6
HATTAWAY,A,1
HATTAWAY,B,1
HAUSE,A,2
HAUSE,B,2
HAUSER,A,2
HAUSER,B,2
HAVERKAMP,B,2
HAWBAKER,A,2
HAWBAKER,B,1
HAWK,A,2
HAWK,B,2
HAWKINS,A,1
HAWKINS,B,1
HAWLEY,B,1
HAWTHORNE,A,1
HAWTHORNE,B,1
HAYDEN,A,2
HAYDEN,B,2
HAYES,A,2
HAYES,B,3
HAYNES,A,3
HAYNES,B,3
HAYS,A,1
HAYS,B,1
HEAD,A,1
HEAD,B,1
HEARD,A,1
HEARD,B,1
HEASLEY,B,1
HEATLEY,A,2
HEATLEY,B,1
HEAVNER,A,2
HEAVNER,B,2
HEBEISEN,A,1
HECKATHORN,B,2
HEDDEN,B,1
HEDRICK,A,14
HEDRICK,B,11
HEFFELFINGER,A,1
HEFFELFINGER,B,1
HEFLIN,B,1
HEIDENFELDER,A,2
HEIDENFELDER,B,3
HEIMER,A,1
HEIMER,B,1
HEIMERL,B,1
HELGASON,B,1
HELMLE,A,2
HELMLE,B,2
HELMS,A,3
HELMS,B,3
HELSHER,A,2
HELSHER,B,2
HELTON,B,1
HEMBREE,B,1
HEMMINGSEN,A,3
HEMMINGSEN,B,2
HENDERSON,A,2
HENDERSON,B,2
HENDRIX,A,2
HENDRIX,B,2
HENDRIXON,A,4
HENDRIXON,B,2
HENKELMAN,B,1
HENRY,A,5
HENRY,B,3
HENSCHELL,B,1
HENSEL,A,2
HENSEL,B,2
HENSLEY,A,231
HENSLEY,B,218
HENSLEY-SWANN,A,1
HENSLEY-SWANN,B,1
HENSON,A,16
HENSON,B,19
HER,A,1
HERB,A,1
HERB,B,1
HERBSTER,B,1
HERMAN,A,6
HERMAN,B,2
HERMANN,B,2
HERNANDEZ,A,3
HERNANDEZ,B,3
HERRIN,A,2
HERRING,A,5
HERRING,B,2
HESS,A,4
HESS,B,1
HESTER,A,1
HESTER,B,2
HETHERINGTON,A,1
HETZEL,A,1
HETZEL,B,1
HEUER,B,1
HEWAT,A,1
HEWITT,B,2
HEY,A,1
HEYER,A,1
HEYER,B,1
HICKMAN,A,2
HICKMAN,B,3
HICKS,A,18
HICKS,B,16
HIGBEE,A,1
HIGBEE,B,1
HIGGINBOTHAM,A,1
HIGGINBOTHAM,B,1
HIGGINS,A,107
HIGGINS,B,109
HIGH,A,2
HIGH,B,2
HILBERT,A,2
HILBERT,B,3
HILEMON,A,18
HILEMON,B,13
HILL,A,28
HILL,B,23
HILLER,A,3
HILLER,B,3
HILLERSTROM,A,1
HILLERSTROM,B,1
HILLIARD,A,17
HILLIARD,B,15
HILLIS,A,1
HILLIS,B,1
HILLYARD,B,1
HILLYER,B,1
HILTON,A,1
HILTON,B,1
HINDS,A,1
HINDS,B,1
HINES,B,2
HINKLE,A,2
HINKLE,B,1
HINZMAN,A,1
HINZMAN,B,1
HIPPS,A,3
HIPPS,B,2
HIRSCH-FORSHEE,A,1
HITCHCOCK,A,1
HITCHCOCK,B,1
HITE,A,1
HITE,B,1
HIXENBAUGH,B,1
HOBSON,B,1
HOCKADAY,A,2
HOCKADAY,B,4
HODAKONSKI,A,1
HODAKOWSKI,A,1
HODAKOWSKI,B,1
HODGE,A,1
HODGE,B,3
HODGES,A,1
HODGIN,B,1
HODSHON,A,4
HODSHON,B,6
HOFFMAN,A,11
HOFFMAN,B,10
HOFFMASTER,A,1
HOFFMASTER,B,1
HOFHEIMER,B,1
HOGAN,A,5
HOGAN,B,4
HOILMAN,A,29
HOILMAN,B,34
HOKE,A,1
HOKE,B,1
HOLBROOK-FRIEND,A,1
HOLCOMB,A,2
HOLCOMB,B,4
HOLCOMBE,A,17
HOLCOMBE,B,18
HOLDER,A,3
HOLDER,B,5
HOLLADY,A,1
HOLLADY,B,1
HOLLAND,A,8
HOLLAND,B,8
HOLLEY,A,1
HOLLIDAY,A,1
HOLLIDAY,B,1
HOLLIFIELD,A,52
HOLLIFIELD,B,45
HOLLINGSHEAD,A,1
HOLLINGSHEAD,B,1
HOLLINGSWORTH,A,3
HOLLINGSWORTH,B,3
HOLLIS,A,2
HOLLIS,B,2
HOLLOWAY,A,8
HOLLOWAY,B,8
HOLLRAH,A,1
HOLLRAH,B,1
HOLMES,A,4
HOLMES,B,5
HOLMES-STRAND,A,1
HOLMES-STRAND,B,1
HOLMQUIST,A,2
HOLMQUIST,B,2
HOLSONBACK,A,1
HOLSONBACK,B,2
HOLT,A,4
HOLT,B,5
HOLTSCLAW,A,1
HOLTSCLAW,B,1
HOLZHAUSER,A,1
HOLZHAUSER,B,1
HONEYCUTT,A,119
HONEYCUTT,B,123
HOOD,B,1
HOOPER,A,5
HOOPER,B,4
HOOVER,A,15
HOOVER,B,13
HOPE,A,1
HOPE,B,1
HOPKINS,B,1
HOPSON,A,31
HOPSON,B,31
HORAK,A,1
HORAK,B,1
HORHOROUNY,A,1
HORHOROUNY,B,1
HORNE,A,8
HORNE,B,8
HORSMAN,A,1
HORSMAN,B,1
HORST,A,3
HORST,B,4
HORTON,A,9
HORTON,B,6
HOSKINS,A,2
HOSKINS,B,2
HOSKINSON,A,1
HOTCHKISS,B,1
HOUCHARD,A,4
HOUCHARD,B,4
HOUCHINS,B,2
HOUSE,A,5
HOUSE,B,5
HOUSER,A,2
HOUSER,B,1
HOUSLEY,A,2
HOUSLEY,B,3
HOUSTON,A,1
HOVIS,A,3
HOWARD,A,7
HOWARD,B,8
HOWELL,A,62
HOWELL,B,59
HOYDAL,A,1
HOYDAL,B,1
HOYLE,A,6
HOYLE,B,6
HOYT,A,2
HOYT,B,2
HUBBARD,A,5
HUBBARD,B,3
HUBER,A,2
HUBER,B,2
HUBSCH,A,1
HUBSCH,B,1
HUCKABEE,B,2
HUDDLESTON,A,2
HUDDLESTON,B,2
HUDGINS,A,55
HUDGINS,B,51
HUDSON,A,4
HUDSON,B,5
HUFFMAN,A,4
HUFFMAN,B,6
HUFFORD,A,2
HUFFORD,B,2
HUFFSTETLER,A,1
HUGGINS,A,1
HUGHES,A,192
HUGHES,B,184
HUGHES-BEINKE,A,1
HUGHES-DARBY,A,1
HULL,A,1
HULL,B,1
HULLETT,A,7
HULLETT,B,5
HUMPHREY,B,1
HUMPHREYS,A,1
HUNNEWELL,A,1
HUNNEWELL,B,1
HUNNICUTT,A,1
HUNNICUTT,B,3
HUNSUCKER,A,2
HUNSUCKER,B,2
HUNT,A,7
HUNT,B,8
HUNTER,A,30
HUNTER,B,27
HUNTLEY,A,1
HUNTLEY,B,2
HUNTZBERRY,A,2
HUPPERT,A,1
HUPPERT,B,1
HURLEY,A,2
HURLEY,B,2
HURST,A,5
HURST,B,5
HUSKINS,A,80
HUSKINS,B,79
HUSKINS-WHITEHEAD,A,1
HUSNANDER,B,1
HUSSEY,A,1
HUTCHESON,A,4
HUTCHESON,B,4
HUTCHESON-BOONE,B,1
HUTCHINS,A,6
HUTCHINS,B,6
HUTCHINSON,A,3
HUTCHINSON,B,3
HUTCHISON,A,2
HUTCHISON,B,3
HUTSON,A,2
HUTSON,B,2
HYATT,A,4
HYATT,B,4
HYDER,A,2
HYDER,B,2
HYLEMON,A,28
HYLEMON,B,23
HYNES,A,2
HYNES,B,2
IACOBUCCI,A,3
ICKES,A,1
ICKES,B,1
IKE,A,1
ILLENYE,A,2
ILLES,B,1
INGERSOLL,B,1
INGLE,A,4
INGLE,B,8
INGRAM,A,4
INGRAM,B,5
INKPEN,A,1
INMAN,A,1
INNIS,B,1
INTOPPA,B,2
IRVIN-WALES,B,1
ISAACS,A,6
ISAACS,B,6
ISOM,A,2
ISOM,B,2
ISRAEL,A,2
ISRAEL,B,2
IVY,A,1
IVY,B,1
JACKSON,A,16
JACKSON,B,17
JACOB,A,1
JACOB,B,1
JACOBSON,A,2
JACOBSON,B,2
JACOBY,A,1
JACOBY,B,1
JACQUIN,B,1
JAKUSHEV,A,1
JAMERSON,A,1
JAMERSON,B,1
JAMES,A,26
JAMES,B,18
JAMISON,B,2
JANTZEN,B,1
JAQUA,A,1
JAQUA,B,1
JARRARD,A,2
JARRARD,B,2
JARRETT,A,7
JARRETT,B,10
JARVIS,A,1
JARVIS,B,1
JASON,A,1
JASON,B,1
JEFFCOAT,A,2
JEFFCOAT,B,2
JEFFERSON,B,1
JEFFERY,A,1
JENKINS,A,4
JENKINS,B,2
JENKS,A,2
JENNINGS,B,1
JEROME,A,1
JEROME,B,1
JESSUP,A,1
JESSUP,B,1
JOANSON,A,1
JOANSON,B,1
JOBE,A,10
JOBE,B,11
JOBIN,A,3
JOBIN,B,4
JOBINA,A,1
JOBINA,B,1
JOEL,A,1
JOEL,B,1
JOHN,A,2
JOHN,B,1
JOHNS,A,1
JOHNS,B,1
JOHNSON,A,109
JOHNSON,B,108
JOHNSTON,A,5
JOHNSTON,B,4
JOINER,A,2
JOINER,B,2
JOLLEY,A,1
JOLLEY,B,1
JONES,A,88
JONES,B,85
JONES-MCRARY,A,1
JONES-MCRARY,B,1
JORDAN,A,8
JORDAN,B,9
JOSEPH,A,1
JOSEPHS,A,1
JOSEPHS,B,1
JOURDAIN,A,2
