lname,src,n
BATTEN,A,1
BATTLE,A,1
BATTLE,B,1
BATZER,A,2
BATZER,B,2
BAUDUIN,A,1
BAUDUIN,B,1
BAUGUESS,A,2
BAXTER,A,1
BAYLESS,A,1
BEACH,A,1
BEACH,B,1
BEALL,A,2
BEALL,B,2
BEAM,A,9
BEAM,B,8
BEAN,A,1
BEAN,B,2
BEARFIELD,A,1
BEARFIELD,B,1
BEASLEY,B,1
BEATTIE,A,2
BEATTIE,B,2
BEAUCHAMP,A,1
BEAVER,A,23
BEAVER,B,24
BEAVERS,A,1
BECK,A,2
BECK,B,1
BECKETT,A,1
BEDFORD,B,2
BEECHER,A,1
BEECHER,B,1
BEERS,A,2
BEGLEY,A,2
BEGLEY,B,1
BEHM,B,1
BEIERS,A,1
BEINKE,A,1
BEINKE,B,1
BEINKE-HUGHES,B,1
BELISLE,A,1
BELISLE,B,1
BELKIN,B,1
BELL,A,4
BELL,B,6
BELLINO,A,2
BELLINO,B,2
BELMONT,A,2
BELMONT,B,1
BELSHAW,A,1
BENA,A,3
BENA,B,3
BENAIN,A,1
BENAIN,B,1
BENDER,A,1
BENDLER,A,1
BENDLER,B,1
BENFIELD,A,6
BENFIELD,B,5
BENGE,A,2
BENGE,B,4
BENGTSON,B,1
BENJAMIN,A,2
BENJAMIN,B,1
BENJAMIN SLINEY,B,1
BENNET,A,1
BENNET,B,1
BENNETT,A,68
BENNETT,B,67
BERDEEN,A,1
BERDEEN,B,1
BERG,A,1
BERG,B,1
BERGER,A,2
BERGER,B,2
BERISTAIN,B,1
BERLINER,B,1
BERNARD,A,3
BERNARD,B,5
BERNHARDT,B,1
BERNREUTER,A,1
BERNSTEIN,A,2
BERNSTEIN,B,2
BERRY,A,15
BERRY,B,14
BERTRAND,B,1
BEST,A,3
BEST,B,2
BETANCOURT,B,1
BETTINI,A,1
BETTINI,B,1
BEWERNITZ,A,1
BIBILONI,A,1
BIBILONI,B,1
BICKFORD,B,1
BIDDIX,A,13
BIDDIX,B,18
BIEDERMAN,A,1
BIEDERMAN,B,1
BIENERT,A,1
BIENERT,B,1
BIGELOW,A,4
BIGELOW,B,7
BIGGERSTAFF,A,6
BIGGERSTAFF,B,5
BIGGS,A,17
BIGGS,B,20
BILIBOCA,A,1
BILLER,A,3
BILLER,B,5
BILLHEIMER,B,1
BINDER,A,1
BINDER,B,1
BINGHAM,A,3
BINGHAM,B,4
BISHOP,A,7
BISHOP,B,14
BIXLER,B,1
BIZZELL,A,1
BIZZELL,B,1
BLACK,A,19
BLACK,B,18
BLACKBURN,A,11
BLACKBURN,B,12
BLACKERBY,A,1
BLACKERBY,B,1
BLACKMON,B,1
BLACKMORE,B,1
BLADEN,A,1
BLADEN,B,1
BLAKESLEE,A,2
BLAKESLEE,B,2
BLALOCK,A,14
BLALOCK,B,15
BLANCHARD,A,1
BLANCHARD,B,1
BLANKENSHIP,A,40
BLANKENSHIP,B,36
BLANKS,A,1
BLANKS,B,1
BLAZER,A,2
BLAZER,B,2
BLEVINS,A,57
BLEVINS,B,63
BLOOD,A,3
BLOOD,B,3
BLOUNT,B,2
BLUM,A,2
BLUM,B,2
BOBBE,A,3
BOBBE,B,5
BOCK,A,1
BOCOCK-HINZMAN,A,1
BOCOCK-HINZMAN,B,1
BODENHAMER,A,2
BODENHAMER,B,1
BODFORD,A,25
BODFORD,B,26
BODOSKY,A,1
BOFFA,A,1
BOFFA,B,1
BOGARD,B,1
BOGER,A,2
BOGER,B,2
BOGGESS,A,4
BOGGESS,B,2
BOGGS,A,4
BOGGS,B,2
BOGUE,A,1
BOGUE,B,1
BOHNERT,A,1
BOHNERT,B,1
BOHRES,A,2
BOHRES,B,2
BOIES,A,1
BOIES,B,1
BOINGS,A,8
BOINGS,B,8
BOLDER,A,1
BOLDER,B,1
BOLICK,A,4
BOLICK,B,4
BOLTIN,B,1
BOMAR,B,2
BOMBARD,A,1
BOMBARD,B,1
BOMMARITO,A,2
BOMMARITO,B,2
BON,A,1
BON,B,1
BOND,A,1
BONESS,A,1
BONHAM,A,2
BONHAM,B,2
BONICORO,B,1
BONIELLO,B,1
BONILLA,A,1
BONILLA,B,1
BONNER,B,1
BOOKTER,A,1
BOOKTER,B,1
BOONE,A,128
BOONE,B,115
BOOTH,A,3
BOOTH,B,5
BOOTHE,A,1
BOOTHE,B,1
BOOZER,A,1
BORGEN,B,1
BORING,B,1
BORLAND,B,1
BORRO,A,2
BORRO,B,2
BOSCHKER,A,1
BOSCHKER,B,1
BOSSARD,A,1
BOSTIC,A,1
BOSTIC,B,1
BOSTICK,A,2
BOSTICK,B,2
BOSTON,B,1
BOTBYL,B,1
BOUCHARD,A,1
BOUCHARD,B,1
BOUCHER,A,3
BOUCHER,B,2
BOUCHER-WOODARD,B,1
BOULET WITHERS,A,1
BOULET WITHERS,B,1
BOULTER,A,2
BOULTER,B,3
BOURET,A,1
BOURET,B,1
BOURNE,B,2
BOWDEN,A,3
BOWDEN,B,3
BOWDITCH,A,2
BOWDITCH,B,2
BOWEN,A,1
BOWENS,A,3
BOWENS,B,2
BOWERS,A,8
BOWERS,B,8
BOWES,B,2
BOWLER,B,1
BOWLING,A,2
BOWLING,B,2
BOWMAN,B,3
BOYD,A,11
BOYD,B,7
BOYER,A,9
BOYER,B,6
BOYLE,A,2
BOYLE,B,2
BRACKINS,A,1
BRACKINS,B,1
BRADBURN,A,2
BRADDOCK,A,2
BRADDOCK,B,2
BRADFORD,A,53
BRADFORD,B,59
BRADLEY,A,13
BRADLEY,B,12
BRADSHAW,A,3
BRADSHAW,B,2
BRADY,A,1
BRADY,B,1
BRAKE,A,2
BRAKE,B,2
BRANCH,A,13
BRANCH,B,14
BRAND,A,1
BRANDHOFER,B,2
BRANDON,B,1
BRANDT,A,2
BRANDT,B,4
BRANHAM,A,2
BRANHAM,B,3
BRANNAN,A,1
BRANNAN,B,1
BRANTLEY,A,2
BRANTLEY,B,2
BRANTON,A,13
BRANTON,B,13
BRASINGTON,A,2
BRASINGTON,B,3
BRASOV,B,1
BRASWELL,A,10
BRASWELL,B,12
BRAULT,A,1
BRAULT,B,1
BRAZELL,A,2
BRAZELL,B,2
BREDEHOEFT,A,2
BREDEHOEFT,B,2
BREEDEN,A,1
BRENDEL,A,1
BRENDEL,B,1
BRENNAN,B,1
BRESSLER,A,1
BRESSLER,B,1
BREWER,A,10
BREWER,B,12
BREWSTER,A,2
BREWSTER,B,2
BRICE,B,1
BRICKHOUSE,A,1
BRICKHOUSE,B,1
BRIDGES,A,1
BRIDGES,B,1
BRIEGEL,A,1
BRIGDEN,A,1
BRIGDEN,B,1
BRIGGS,A,109
BRIGGS,B,105
BRIGHT,A,1
BRIGHT,B,1
BRIGMAN,A,1
BRIGMAN,B,1
BRIGMON,B,1
BRINKLEY,A,4
BRINKLEY,B,4
BRINKMAN,A,2
BRINKMAN,B,2
BRION,A,1
BRION,B,1
BRISBEN,A,1
BRISBEN,B,1
BROADWAY,B,2
BROCCI,A,1
BROCCI,B,1
BROCK,A,3
BROCK,B,3
BROMMER,A,1
BROMMER,B,1
BROOKFIELD,A,1
BROOKFIELD,B,1
BROOKS,A,14
BROOKS,B,16
BROOME,B,1
BROST,A,3
BROST,B,2
BROTHERS,B,2
BROTHERTON,A,1
BROTHERTON,B,1
BROUGHAN,A,1
BROUGHAN,B,1
BROUGHTON,A,1
BROUGHTON,B,2
BROWN,A,72
BROWN,B,82
BROYLES,A,2
BROYLES,B,2
BRUBAKER,A,2
BRUCE,A,6
BRUCE,B,5
BRUCKER,A,2
BRUCKER,B,2
BRUORTON,A,4
BRUORTON,B,3
BRUTON,B,2
BRYAN,A,3
BRYAN,B,2
BRYANT,A,78
BRYANT,B,69
